"data_attributes_time","data_attributes_direction_id","data_attributes_stop_sequence","data_attributes_schedule_id","data_attributes_route_id","data_attributes_stop_id","data_attributes_trip_id"
"2019-11-18T06:48:00-05:00",0,13,"schedule-41893180-1252-13",43,1252,41893180
"2019-11-18T06:49:00-05:00",0,14,"schedule-41893180-1253-14",43,1253,41893180
"2019-11-18T06:50:00-05:00",0,15,"schedule-41893180-1254-15",43,1254,41893180
"2019-11-18T06:51:00-05:00",0,16,"schedule-41893180-1255-16",43,1255,41893180
"2019-11-18T06:52:00-05:00",0,17,"schedule-41893180-17863-17",43,17863,41893180
"2019-11-18T09:47:00-05:00",0,1,"schedule-41893181-10000-1",43,10000,41893181
"2019-11-18T09:48:00-05:00",0,2,"schedule-41893181-8279-2",43,8279,41893181
"2019-11-18T09:49:00-05:00",0,3,"schedule-41893181-8281-3",43,8281,41893181
"2019-11-18T09:50:00-05:00",0,4,"schedule-41893181-1242-4",43,1242,41893181
"2019-11-18T09:51:00-05:00",0,5,"schedule-41893181-168-5",43,168,41893181
"2019-11-18T09:52:00-05:00",0,6,"schedule-41893181-11245-6",43,11245,41893181
"2019-11-18T09:53:00-05:00",0,7,"schedule-41893181-1246-7",43,1246,41893181
"2019-11-18T09:54:00-05:00",0,8,"schedule-41893181-1247-8",43,1247,41893181
"2019-11-18T09:55:00-05:00",0,9,"schedule-41893181-1248-9",43,1248,41893181
"2019-11-18T09:56:00-05:00",0,10,"schedule-41893181-1249-10",43,1249,41893181
"2019-11-18T09:57:00-05:00",0,11,"schedule-41893181-1250-11",43,1250,41893181
"2019-11-18T09:57:00-05:00",0,12,"schedule-41893181-1251-12",43,1251,41893181
"2019-11-18T09:58:00-05:00",0,13,"schedule-41893181-1252-13",43,1252,41893181
"2019-11-18T09:59:00-05:00",0,14,"schedule-41893181-1253-14",43,1253,41893181
"2019-11-18T10:00:00-05:00",0,15,"schedule-41893181-1254-15",43,1254,41893181
